ensembl_peptide_id,tf_gene,entrezgene_id
ENSP00000315505,HKR1,284459
ENSP00000315664,ZNF18,7566
ENSP00000315768,STAT2,6773
ENSP00000315870,ZNF575,284346
ENSP00000315949,HOXD8,3234
ENSP00000316250,IRX5,10265
ENSP00000316516,TFAP2A,7020
ENSP00000316553,NFATC1,4772
ENSP00000316842,SIX5,147912
ENSP00000317125,ZNF726,730087
ENSP00000317163,PIAS2,9063
ENSP00000317333,NEUROG2,63973
ENSP00000317421,AFF3,3899
ENSP00000317510,TP63,8626
ENSP00000317534,ZBTB34,403341
ENSP00000317561,ZBTB8A,653121
ENSP00000317580,NEUROG1,4762
ENSP00000317614,ZNF518B,85460
ENSP00000317686,ZFP42,132625
ENSP00000317695,NFX1,4799
ENSP00000318057,EGR3,1960
ENSP00000318085,HINFP,25988
ENSP00000318373,ZNF513,130557
ENSP00000318502,TGIF2LY,90655
ENSP00000318543,L3MBTL4,91133
ENSP00000318676,TFEC,22797
ENSP00000318719,ZNF596,169270
ENSP00000318799,BHLHE22,27319
ENSP00000318898,ZNF114,163071
ENSP00000318902,FOXP1,27086
ENSP00000319053,ZNF77,58492
ENSP00000319118,GSX2,170825
ENSP00000319248,ZEB1,6935
ENSP00000319305,ZNF572,137209
ENSP00000319414,TULP1,7287
ENSP00000319479,ZNF404,342908
ENSP00000319610,NPAS3,64067
ENSP00000319651,DMRTA1,63951
ENSP00000319716,ZNF101,94039
ENSP00000319829,ZNF687,57592
ENSP00000320050,ZNF580,51157
ENSP00000320089,NKX2-6,137814
ENSP00000320096,ZNF784,147808
ENSP00000320188,ZNF579,163033
ENSP00000320309,FARSA,2193
ENSP00000320347,ZFP3,124961
ENSP00000320447,NR2C2,7182
ENSP00000320794,USF3,205717
ENSP00000320886,MLXIPL,51085
ENSP00000320913,MLX,6945
ENSP00000320940,NCOA1,8648
ENSP00000320949,CNOT1,23019
ENSP00000321049,ZNF227,7770
ENSP00000321132,ZNF554,115196
ENSP00000321187,ZNF274,10782
ENSP00000321209,ZNF274,10782
ENSP00000321370,ZBED2,79413
ENSP00000321406,ZNF135,7694
ENSP00000321445,MSC,9242
ENSP00000321636,TOP3A,7156
ENSP00000321650,ZNF384,171017
ENSP00000321684,MEOX1,4222
ENSP00000321812,ZNF776,284309
ENSP00000321813,CAMTA2,23125
ENSP00000321835,ETV4,2118
ENSP00000321848,ZNF671,79891
ENSP00000321963,ZSCAN4,201516
ENSP00000322087,NHLH2,4808
ENSP00000322265,ZNF620,253639
ENSP00000322361,ZNF236,7776
ENSP00000322408,KDM5D,8284
ENSP00000322427,ZNF611,81856
ENSP00000322529,ZNF619,285267
ENSP00000322545,ZNF543,125919
ENSP00000322777,ZNF207,7756
ENSP00000322872,ZKSCAN5,23660
ENSP00000322899,ZNF843,283933
ENSP00000323148,ZKSCAN1,7586
ENSP00000323183,ZBTB2,57621
ENSP00000323246,E2F7,144455
ENSP00000323293,ZNF410,57862
ENSP00000323326,HIF1A,3091
ENSP00000323348,ZNF645,158506
ENSP00000323455,TPRX1,284355
ENSP00000323584,TSHZ1,10194
ENSP00000323670,ZBTB7A,51341
ENSP00000323816,AHRR,57491
ENSP00000323880,FOXJ1,2302
ENSP00000323945,ZNF771,51333
ENSP00000324056,ZNF48,197407
ENSP00000324064,ZNF354C,30832
ENSP00000324246,MITF,4286
ENSP00000324441,ZNF610,162963
ENSP00000324443,MITF,4286
ENSP00000324518,ZNF479,90827
ENSP00000324578,ETS1,2113
ENSP00000324598,ZNF540,163255
ENSP00000324605,ZNF660,285349
ENSP00000324693,GRHL1,29841
ENSP00000324884,HOXA3,3200
ENSP00000325018,ZNF569,148266
ENSP00000325038,ZNF836,162962
ENSP00000325120,PGR,5241
ENSP00000325123,ZSCAN2,54993
ENSP00000325326,ZNF335,63925
ENSP00000325393,ZNF559,84527
