ensembl_peptide_id,tf_gene,entrezgene_id
ENSMUSP00000047949,Hoxd4,15436
ENSMUSP00000047951,Foxn4,116810
ENSMUSP00000047962,Alx4,11695
ENSMUSP00000048002,Hoxb4,15412
ENSMUSP00000048248,Hif3a,53417
ENSMUSP00000048508,Gbx2,14472
ENSMUSP00000048648,Hoxa7,15404
ENSMUSP00000048825,Klf16,118445
ENSMUSP00000048838,Rarg,19411
ENSMUSP00000048904,Hsf4,26386
ENSMUSP00000049039,Arx,11878
ENSMUSP00000049070,Tulp1,22157
ENSMUSP00000049248,Tulp4,68842
ENSMUSP00000049265,Rreb1,68750
ENSMUSP00000049650,Zfp759,268670
ENSMUSP00000049715,Hsfy2,71066
ENSMUSP00000049898,Nkx2-6,18092
ENSMUSP00000049983,Zbtb33,56805
ENSMUSP00000050047,E2f2,242705
ENSMUSP00000050166,Relb,19698
ENSMUSP00000050353,Runx3,12399
ENSMUSP00000050445,Foxe3,30923
ENSMUSP00000050484,Neurog1,18014
ENSMUSP00000050488,Lin28a,83557
ENSMUSP00000050501,Zfp871,208292
ENSMUSP00000050516,Bhlha9,320522
ENSMUSP00000050577,Zfp710,209225
ENSMUSP00000050581,Snai1,20613
ENSMUSP00000050683,Foxo3,56484
ENSMUSP00000050684,Patz1,56218
ENSMUSP00000050728,Zfp81,224694
ENSMUSP00000050746,Zfp867,237775
ENSMUSP00000050750,Peg3,18616
ENSMUSP00000050797,Zfp444,72667
ENSMUSP00000050803,Zfp235,56525
ENSMUSP00000050825,Rlf,109263
ENSMUSP00000050854,Zfp367,238673
ENSMUSP00000050933,Nkx2-3,18089
ENSMUSP00000050968,Zfp719,210105
ENSMUSP00000050972,Crebzf,233490
ENSMUSP00000051003,Hoxc12,15421
ENSMUSP00000051069,Zfp473,243963
ENSMUSP00000051107,Rfx4,71137
ENSMUSP00000051118,Hes5,15208
ENSMUSP00000051158,Meox1,17285
ENSMUSP00000051303,Ets1,23871
ENSMUSP00000051335,Zfpm2,22762
ENSMUSP00000051355,Gm28230,NA
ENSMUSP00000051379,Neurod4,11923
ENSMUSP00000051403,Sp2,78912
ENSMUSP00000051479,Aff4,93736
ENSMUSP00000051496,Zfp607,545938
ENSMUSP00000051593,Zfp846,244721
ENSMUSP00000051861,Zfp11,22648
ENSMUSP00000051979,Zfp784,654801
ENSMUSP00000051990,Nkx3-2,12020
ENSMUSP00000052088,Pou3f3,18993
ENSMUSP00000052127,Zbtb21,114565
ENSMUSP00000052194,Zfp770,228491
ENSMUSP00000052196,Foxc1,17300
ENSMUSP00000052200,Zfp260,26466
ENSMUSP00000052303,Bptf,207165
ENSMUSP00000052316,Klf17,75753
ENSMUSP00000052379,Zfp423,94187
ENSMUSP00000052496,Hoxb8,15416
ENSMUSP00000052508,Hsf3,245525
ENSMUSP00000052557,Nr1h5,381463
ENSMUSP00000052559,Dlx5,13395
ENSMUSP00000052591,Tbx20,57246
ENSMUSP00000052641,Zfp646,233905
ENSMUSP00000052648,Ar,11835
ENSMUSP00000052667,Zfp677,210503
ENSMUSP00000052717,Zbtb39,320080
ENSMUSP00000052778,Nkx1-2,20231
ENSMUSP00000052929,Rhox11,194738
ENSMUSP00000052944,Zfp764,233893
ENSMUSP00000052946,Zfp654,72020
ENSMUSP00000053013,Zfp691,195522
ENSMUSP00000053092,Nr1h4,20186
ENSMUSP00000053147,Barhl1,54422
ENSMUSP00000053178,Tcf21,21412
ENSMUSP00000053288,Onecut3,246086
